event,timestamp_utc,timestamp_ns,pid,detail,value
METRIC,2026-03-14T06:51:35Z,229672514627761,7551,simulate_adv:elapsed_ns,5610080.0000000000
MODULE_START,2026-03-14T06:51:35Z,229672514663341,7551,simulate_adv,qcd_lattice_fullscale
METRIC,2026-03-14T06:51:35Z,229672514681831,7551,simulate_adv:sites,81.0000000000
METRIC,2026-03-14T06:51:35Z,229672514711801,7551,simulate_adv:steps,1400.0000000000
METRIC,2026-03-14T06:51:35Z,229672514748801,7551,simulate_adv:temp_K,140.0000000000
METRIC,2026-03-14T06:51:35Z,229672514782361,7551,simulate_adv:U_eV,9.0000000000
METRIC,2026-03-14T06:51:35Z,229672514812011,7551,simulate_adv:local_pair_site0_step0,0.6571004364
METRIC,2026-03-14T06:51:35Z,229672514846031,7551,simulate_adv:d_site0_step0,0.0809842964
METRIC,2026-03-14T06:51:35Z,229672514883761,7551,simulate_adv:step_pairing_norm_step0,0.5799614517
METRIC,2026-03-14T06:51:35Z,229672514913861,7551,simulate_adv:step_energy_norm_step0,2.2115701842
MODULE_END,2026-03-14T06:51:35Z,229672525458681,7551,simulate_adv:qcd_lattice_fullscale,10795340
METRIC,2026-03-14T06:51:35Z,229672525492261,7551,simulate_adv:pairing_final,0.5239388412
METRIC,2026-03-14T06:51:35Z,229672525524111,7551,simulate_adv:energy_final_eV,2.2213173311
METRIC,2026-03-14T06:51:35Z,229672525554431,7551,simulate_adv:sign_ratio_final,-0.2345679012
METRIC,2026-03-14T06:51:35Z,229672525587761,7551,simulate_adv:elapsed_ns,10795200.0000000000
MODULE_START,2026-03-14T06:51:35Z,229672525631041,7551,simulate_adv,qcd_lattice_fullscale
METRIC,2026-03-14T06:51:35Z,229672525657261,7551,simulate_adv:sites,81.0000000000
METRIC,2026-03-14T06:51:35Z,229672525696181,7551,simulate_adv:steps,2100.0000000000
