timestamp_ns,phase,fragment,neurons_active,cpu_ns,ink_pixels,total_pixels,ink_ratio,merkle_prefix
1771966720826412224,train,17283971,2511989,2759630756,51200,102400,0.50000000,0bbe86b81de6b24b
1771966723853666574,train,1732242978,2636831,2750641810,51200,102400,0.50000000,317a2444bfb8b09a
1771966726893231453,train,1734818300,2710775,2754534198,51200,102400,0.50000000,5f915793332f1979
1771966729935959108,train,1737469977,1678609,2770933829,51200,102400,0.50000000,99a5450a0e768ed6
1771966733033114709,train,1741397554,3661687,2802365348,51200,102400,0.50000000,2c02e6115d1a9906
1771966736159184635,train,1746646794,3008380,2792252095,51200,102400,0.50000000,219e1cecc5a4260d
1771966739179032929,train,1757276221,1199103,2754043062,51200,102400,0.50000000,7df7228bef21585e
1771966742234752386,train,1762562855,3687071,2765623385,51200,102400,0.50000000,2ad6c7190f6928a7
1771966745329175114,train,176501514,2653277,2779033167,51200,102400,0.50000000,9ab67b22c26c65a2
1771966748395753861,train,1779677207,2489076,2778498546,51200,102400,0.50000000,a53a523b5536ebb5
1771966751416090706,train,1783261305,1243337,2745859374,51200,102400,0.50000000,7927a7904a9dc660
1771966754487490934,train,1790344501,2813853,2795789132,51200,102400,0.50000000,d1ec6700563586b5
1771966756191432401,train,1790856995,2910845,1539282289,32768,65536,0.50000000,7f3d72cde3e87555
1771966759224778057,train,1791213794,3232370,2744329237,51200,102400,0.50000000,c1d8afecbe23b1c3
1771966762296414554,train,1793326608,3277798,2784922465,51200,102400,0.50000000,ef2cac5a6ff84cbe
1771966765355781732,train,1795164441,2374721,2791143001,51200,102400,0.50000000,2d4b51efb8671ce3
1771966768434038774,train,1796385572,3099705,2787565994,51200,102400,0.50000000,d082e6a57a25902e
1771966771489776409,train,1796762532,2636837,2744135149,51200,102400,0.50000000,aae239a39d850cd0
1771966774570929490,train,1798146413,2845202,2784344771,51200,102400,0.50000000,7417c4ae4c2f003c
1771966777586670845,train,1812790174,3297144,2719714343,51200,102400,0.50000000,05dcb3e1b9a703d9
1771966780611516471,train,1815623142,2954586,2746589349,51200,102400,0.50000000,71b8338bdd2a4d40
1771966783668784813,train,1818529443,2693003,2767718108,51200,102400,0.50000000,9cd9281f5114fd3a
1771966786711982316,train,1820528268,1654334,2764277306,51200,102400,0.50000000,2a05b33ca2c58f0c
