step,timestamp_ns,radius_m,shell_thickness_m,v_over_c,v_m_s,negative_energy_j,power_proxy_w,feasible_now,warning,chain_hash,prev_hash
488,1772577260299812197,78.97396913520282,1.1647956049073984,0.3519740738939005,105519172.76492606,-8.028171583275427e+46,4.529095438084064e+37,False,requires_exotic_negative_energy,d2f48ddc233dc2efd0b68ad2b31772ebb988c5717649b4d1091b357d9f863df4,2062d22ce4924f892b31d7f66eecad058fcc6f14bbfeb373b52f02da676c264b
489,1772577260299813197,79.4321437186481,1.1669926648934383,0.352365441779008,105636501.90518472,-8.124341036096455e+46,4.583349464114363e+37,False,requires_exotic_negative_energy,f81691e60e3f7319609e305a709498b07989f9402d59202f90ef60b043b6ecb3,d2f48ddc233dc2efd0b68ad2b31772ebb988c5717649b4d1091b357d9f863df4
490,1772577260299814197,79.95283138965333,1.1705056231695075,0.35270861738545256,105739383.36376636,-8.222491266909916e+46,4.638720946650958e+37,False,requires_exotic_negative_energy,b5dfc8aab004b23dd1dbc9eea2ad8a6b9451733cf3e16fc1e8a54c42bfcae4da,f81691e60e3f7319609e305a709498b07989f9402d59202f90ef60b043b6ecb3
491,1772577260299815197,80.47871166936163,1.1751944291749201,0.3529966090321864,105825721.08742416,-8.311328766431852e+46,4.688838648999744e+37,False,requires_exotic_negative_energy,3c2fbc620401033ee7e16cb7542840f075af9c54ca5c7f61b88e695b0a9b9eb9,b5dfc8aab004b23dd1dbc9eea2ad8a6b9451733cf3e16fc1e8a54c42bfcae4da
492,1772577260299816197,80.95189244483713,1.1808721550106234,0.3532235493274118,105893756.07634902,-8.379681617872397e+46,4.727399930909102e+37,False,requires_exotic_negative_energy,4946ee93c291bdd3cea3c8a3a761af26c45d23912a82b322748f97f088dcb22a,3c2fbc620401033ee7e16cb7542840f075af9c54ca5c7f61b88e695b0a9b9eb9
493,1772577260299817197,81.32028308642509,1.1873124476646473,0.35338481470776556,105942102.22111559,-8.417935577335354e+46,4.748980913763684e+37,False,requires_exotic_negative_energy,6ab6344944c7ddeb0674ac811faba3da365e2a36beb70eb954f807a4f76312f8,4946ee93c291bdd3cea3c8a3a761af26c45d23912a82b322748f97f088dcb22a
494,1772577260299818197,81.54332890240134,1.1942585529923955,0.35347711963639034,105969774.54255353,-8.419343267089322e+46,4.749775062366112e+37,False,requires_exotic_negative_energy,7bbaec23789683ba9ad58b18138c19ba9bc816e38af1c0050239dd850883974d,6ab6344944c7ddeb0674ac811faba3da365e2a36beb70eb954f807a4f76312f8
495,1772577260299819197,81.59647564711982,1.201433551694153,0.3534985835407514,105976209.25920022,-8.380993226875177e+46,4.728139875526548e+37,False,requires_exotic_negative_energy,5da4decafeab17e488ee9777b433bd4db093158df4de65568eff1230e900cd78,7bbaec23789683ba9ad58b18138c19ba9bc816e38af1c0050239dd850883974d
496,1772577260299820197,81.47387260233504,1.2085513992136987,0.3534487691264417,105961275.27349046,-8.304273208884198e+46,4.684858254065373e+37,False,requires_exotic_negative_energy,8f78387903aabf5a1ac7a6616e4b453be47d7e014d69342186dc6d763fd7573a,5da4decafeab17e488ee9777b433bd4db093158df4de65568eff1230e900cd78
497,1772577260299821197,81.18901665999914,1.215328329432095,0.35332869128639033,105925276.84267014,-8.194752453040264e+46,4.62307208637787e+37,False,requires_exotic_negative_energy,76951eeedc1be9efaff7ca71452f46f0126d7bb801290a95b40796300d36a232,8f78387903aabf5a1ac7a6616e4b453be47d7e014d69342186dc6d763fd7573a
498,1772577260299822197,80.77326650196522,1.2214941675273736,0.3531407964239628,105868947.38001741,-8.061516871573128e+46,4.547907192609232e+37,False,requires_exotic_negative_energy,b77fbdec41f71d1f2e7fa66532e0bbf0f8268ab8a700b27d96af96d59547e6c7,76951eeedc1be9efaff7ca71452f46f0126d7bb801290a95b40796300d36a232
499,1772577260299823197,80.27239044476991,1.2268031009921045,0.35288891261121297,105793434.51266274,-7.916088524018321e+46,4.465863746147433e+37,False,requires_exotic_negative_energy,b1392caded8da72d7dfae86847fee663aa501e7a390cb292c4ceee9c16cb664f,b77fbdec41f71d1f2e7fa66532e0bbf0f8268ab8a700b27d96af96d59547e6c7
500,1772577260299824197,79.741527983825,1.2310434794023566,0.3525781715977374,105700276.70043148,-7.771120530472278e+46,4.384080008539557e+37,False,requires_exotic_negative_energy,4f092fb43f960b46d148707350832995b1638b0b0f3b92777e1e7afb2f5297d6,b1392caded8da72d7dfae86847fee663aa501e7a390cb292c4ceee9c16cb664f
501,1772577260299825197,79.23911970100497,1.2340462522522007,0.35221490425908164,105591371.89206475,-7.639068317160632e+46,4.309582712275408e+37,False,requires_exotic_negative_energy,87f77d6ba5b9e6792b29427d93d0ba451547d211b8100b96755f5f35a2f3907e,4f092fb43f960b46d148707350832995b1638b0b0f3b92777e1e7afb2f5297d6
502,1772577260299826197,78.82047376847622,1.2356917084639112,0.35180651161478005,105468938.85740046,-7.53100237568394e+46,4.248617278555234e+37,False,requires_exotic_negative_energy,06548975ba1833ce2e3cc3435d4cfdd7c33866755202488a188a1ddc1f596841,87f77d6ba5b9e6792b29427d93d0ba451547d211b8100b96755f5f35a2f3907e
